date,crypto,forecast_price,model
429,ADA,0.8357389273218173,ARIMA
430,ADA,0.8334904044828424,ARIMA
431,ADA,0.8351387204779795,ARIMA
432,ADA,0.8339303958068973,ARIMA
433,ADA,0.8348161777292067,ARIMA
434,ADA,0.8341668409800138,ARIMA
435,ADA,0.8346428477749517,ARIMA
436,ADA,0.834293903303368,ARIMA
437,ADA,0.8345497026859476,ARIMA
438,ADA,0.8343621848157513,ARIMA
439,ADA,0.8344996478201118,ARIMA
440,ADA,0.8343988783438585,ARIMA
441,ADA,0.8344727490364976,ARIMA
442,ADA,0.8344185969317743,ARIMA
443,ADA,0.8344582940070446,ARIMA
444,ADA,0.834429193424656,ARIMA
445,ADA,0.8344505260767365,ARIMA
446,ADA,0.8344348878314701,ARIMA
447,ADA,0.8344463516998204,ARIMA
448,ADA,0.8344379479259114,ARIMA
449,ADA,0.8344441084481501,ARIMA
450,ADA,0.8344395923777912,ARIMA
451,ADA,0.8344429029561312,ARIMA
452,ADA,0.834440476083192,ARIMA
453,ADA,0.8344422551416096,ARIMA
454,ADA,0.8344409509740934,ARIMA
455,ADA,0.8344419070151619,ARIMA
456,ADA,0.8344412061738105,ARIMA
457,ADA,0.8344417199368861,ARIMA
458,ADA,0.8344413433145629,ARIMA
429,BCH,293.32320274914787,ARIMA
430,BCH,292.41031082652404,ARIMA
431,BCH,292.57376700799784,ARIMA
432,BCH,292.5444996625434,ARIMA
433,BCH,292.54974007316736,ARIMA
434,BCH,292.54880176109697,ARIMA
435,BCH,292.5489697688362,ARIMA
436,BCH,292.54893968651993,ARIMA
437,BCH,292.54894507285366,ARIMA
438,BCH,292.5489441084136,ARIMA
439,BCH,292.54894428109964,ARIMA
440,BCH,292.54894425017966,ARIMA
441,BCH,292.548944255716,ARIMA
442,BCH,292.5489442547247,ARIMA
443,BCH,292.5489442549022,ARIMA
444,BCH,292.54894425487043,ARIMA
445,BCH,292.5489442548761,ARIMA
446,BCH,292.5489442548751,ARIMA
