date,crypto,forecast_price,model
2022-03-07,ADA,0.956695,LSTM
2022-03-08,ADA,0.9573891,LSTM
2022-03-09,ADA,0.96065176,LSTM
2022-03-10,ADA,0.9657108,LSTM
2022-03-11,ADA,0.97211564,LSTM
2022-03-12,ADA,0.9795281,LSTM
2022-03-13,ADA,0.98752505,LSTM
2022-03-14,ADA,0.9959512,LSTM
2022-03-15,ADA,1.004553,LSTM
2022-03-16,ADA,1.013185,LSTM
2022-03-17,ADA,1.0218642,LSTM
2022-03-18,ADA,1.0305479,LSTM
2022-03-19,ADA,1.0392187,LSTM
2022-03-20,ADA,1.0479232,LSTM
2022-03-21,ADA,1.0564984,LSTM
2022-03-22,ADA,1.0648749,LSTM
2022-03-23,ADA,1.0731279,LSTM
2022-03-24,ADA,1.0812883,LSTM
2022-03-25,ADA,1.0892435,LSTM
2022-03-26,ADA,1.0969892,LSTM
2022-03-27,ADA,1.1046994,LSTM
2022-03-28,ADA,1.1122713,LSTM
2022-03-29,ADA,1.1197094,LSTM
2022-03-30,ADA,1.1271054,LSTM
2022-03-31,ADA,1.134355,LSTM
2022-04-01,ADA,1.1414311,LSTM
2022-04-02,ADA,1.1485479,LSTM
2022-04-03,ADA,1.1555173,LSTM
2022-04-04,ADA,1.1623065,LSTM
2022-04-05,ADA,1.16891,LSTM
2022-03-07,BCH,334.38657,LSTM
2022-03-08,BCH,335.77066,LSTM
2022-03-09,BCH,338.0488,LSTM
2022-03-10,BCH,340.97958,LSTM
2022-03-11,BCH,344.36743,LSTM
2022-03-12,BCH,348.05786,LSTM
2022-03-13,BCH,351.94815,LSTM
2022-03-14,BCH,355.95898,LSTM
2022-03-15,BCH,360.0433,LSTM
2022-03-16,BCH,364.174,LSTM
2022-03-17,BCH,368.32303,LSTM
2022-03-18,BCH,372.4776,LSTM
2022-03-19,BCH,376.63275,LSTM
2022-03-20,BCH,380.77948,LSTM
2022-03-21,BCH,384.9207,LSTM
2022-03-22,BCH,389.06036,LSTM
2022-03-23,BCH,393.19247,LSTM
2022-03-24,BCH,397.31516,LSTM
2022-03-25,BCH,401.431,LSTM
2022-03-26,BCH,405.5438,LSTM
2022-03-27,BCH,409.64417,LSTM
2022-03-28,BCH,413.7356,LSTM
2022-03-29,BCH,417.812,LSTM
2022-03-30,BCH,421.87335,LSTM
2022-03-31,BCH,425.91943,LSTM
2022-04-01,BCH,429.95615,LSTM
2022-04-02,BCH,433.9662,LSTM
2022-04-03,BCH,437.9643,LSTM
2022-04-04,BCH,441.95065,LSTM
2022-04-05,BCH,445.9244,LSTM
2022-03-07,BNB,386.17355,LSTM
2022-03-08,BNB,387.07144,LSTM
2022-03-09,BNB,387.82513,LSTM
2022-03-10,BNB,388.4631,LSTM
2022-03-11,BNB,389.00714,LSTM
2022-03-12,BNB,389.49854,LSTM
2022-03-13,BNB,389.89737,LSTM
2022-03-14,BNB,390.28247,LSTM
2022-03-15,BNB,390.62836,LSTM
2022-03-16,BNB,390.93222,LSTM
2022-03-17,BNB,391.22906,LSTM
2022-03-18,BNB,391.50848,LSTM
