date,arima_forecast
2022-03-07,38787.24532610441
2022-03-08,38760.93714967727
2022-03-09,38778.639840904805
2022-03-10,38766.72775427404
2022-03-11,38774.74336083211
2022-03-12,38769.349683764
2022-03-13,38772.97907252009
2022-03-14,38770.53686795788
2022-03-15,38772.18021991726
2022-03-16,38771.07441342415
2022-03-17,38771.818507221724
2022-03-18,38771.31780878756
2022-03-19,38771.654727228204
2022-03-20,38771.42801584286
2022-03-21,38771.58056923871
2022-03-22,38771.47791652654
2022-03-23,38771.54699122171
2022-03-24,38771.500511071186
2022-03-25,38771.53178742191
2022-03-26,38771.510741661434
2022-03-27,38771.52490328911
2022-03-28,38771.515373973285
2022-03-29,38771.52178622068
2022-03-30,38771.517471439074
2022-03-31,38771.52037484238
2022-04-01,38771.5184211512
2022-04-02,38771.51973578401
2022-04-03,38771.518851171626
2022-04-04,38771.51944642459
2022-04-05,38771.5190458807
