ds,yhat,yhat_lower,yhat_upper
2020-12-31,35655.15480033571,32360.244743708627,39054.72080802451
2021-01-01,35970.88154120518,32678.7693469302,39503.12809254982
2021-01-02,36154.180372897375,32723.633645669604,39505.26205989195
2021-01-03,36273.61537060922,32762.20926234183,39627.62579106682
2021-01-04,36384.19607866833,33003.4111953146,39471.80224186199
2021-01-05,36318.90780888678,33098.88288542255,39849.53873302794
2021-01-06,36396.357697910535,32976.91761535255,39378.74502187523
2021-01-07,35972.7525648214,32855.11676150451,39495.70905367809
2021-01-08,35953.322002750836,32595.155616614633,39196.01608024084
2021-01-09,35815.77873649669,32308.336382648704,39194.48641270898
2021-01-10,35636.480162781554,32112.221541027582,38968.50683137259
2021-01-11,35477.806812594084,32303.636198572036,38983.7714699873
2021-01-12,35179.52792018283,31847.308284092844,38740.59494315954
2021-01-13,35066.29549957591,31818.801732808923,38446.71444723152
2021-01-14,34499.48647476455,31091.6041276006,37717.68301720262
2021-01-15,34388.509416498,31088.829564661435,37956.856343296306
2021-01-16,34214.1706340428,30948.07297841475,37400.55439012637
2021-01-17,34054.76562084224,30751.936973302054,37449.41170053696
2021-01-18,33973.4132727335,30705.996493834868,37300.89887414862
2021-01-19,33809.40402159952,30476.34917277282,37317.63782686089
2021-01-20,33885.70366901025,30401.63158807639,37091.97254031614
2021-01-21,33560.832211350935,30069.07134728422,36882.10878460457
2021-01-22,33740.233339872466,30410.432283812446,37022.80292658735
2021-01-23,33899.727845552006,30681.619190886904,37144.70081557999
2021-01-24,34111.71496525749,30705.12728261004,37650.315479655044
2021-01-25,34432.636449716665,31288.78231424896,37854.42516689598
2021-01-26,34694.4715249983,31156.023768864277,37897.78678660654
2021-01-27,35212.40113104647,31701.384836866047,38542.66733566302
2021-01-28,35336.85699535954,31935.48797655238,38589.34803502467
2021-01-29,35965.06751464728,32393.600448113983,39120.05385008141
2021-01-30,36564.68925113771,33170.23830515819,39843.00215624533
2021-01-31,37200.18441765885,33874.587299919025,40738.397496245285
2021-02-01,37920.45494617137,34324.885045037954,41178.716539919835
2021-02-02,38550.49752209273,35089.2845661578,41842.84624111357
2021-02-03,39399.21438770566,36078.90948087876,42987.71203503134
2021-02-04,39811.59226240459,36403.912744484536,43223.83907770981
